;Unnamed: 0;logit;linear;rf_clf;rf_regr;gtb_clf;gtb_regr;kpi;training_set_size
Explained Variance;;0.92112;;0.92262;;0.92365;;Explained Variance;8000
Mean Squared Error;;0.00263;;0.00258;;0.00254;;Mean Squared Error;8000
Root Mean Squared Error;;0.05124;;0.05078;;0.05044;;Root Mean Squared Error;8000
Mean Absolut Error;;0.04207;;0.04091;;0.04066;;Mean Absolut Error;8000
R2;;0.92067;;0.9221;;0.92312;;R2;8000
Explained Variance;;;0.66758;;0.69306;;0.70961;Explained Variance;8000
Mean Squared Error;;;222.71171;;205.62165;;194.54108;Mean Squared Error;8000
Root Mean Squared Error;;;14.92353;;14.33951;;13.9478;Root Mean Squared Error;8000
Mean Absolut Error;;;11.73137;;11.17073;;10.92208;Mean Absolut Error;8000
R2;;;0.66754;;0.69305;;0.7096;R2;8000
accuracy;;0.6627;;0.6585;;0.6627;;accuracy;6000
precision;;0.47471;;0.4316;;0.47471;;precision;6000
recall;;0.62314;;0.62943;;0.62314;;recall;6000
f1_score;;0.53889;;0.51207;;0.53889;;f1_score;6000
Explained Variance;;0.92188;;0.91798;;0.92069;;Explained Variance;6000
Mean Squared Error;;0.00262;;0.00276;;0.00266;;Mean Squared Error;6000
Root Mean Squared Error;;0.05117;;0.05249;;0.05158;;Root Mean Squared Error;6000
Mean Absolut Error;;0.04185;;0.04213;;0.04155;;Mean Absolut Error;6000
R2;;0.9209;;0.91674;;0.91962;;R2;6000
Explained Variance;;;0.66722;;0.69288;;0.7095;Explained Variance;6000
Mean Squared Error;;;222.97182;;205.74853;;194.62266;Mean Squared Error;6000
Root Mean Squared Error;;;14.93224;;14.34394;;13.95072;Root Mean Squared Error;6000
Mean Absolut Error;;;11.73996;;11.18853;;10.93899;Mean Absolut Error;6000
R2;;;0.66716;;0.69287;;0.70947;R2;6000
accuracy;;0.6627;;0.6605;;0.6605;;accuracy;5000
precision;;0.47471;;0.43642;;0.43642;;precision;5000
recall;;0.62314;;0.63202;;0.63202;;recall;5000
f1_score;;0.53889;;0.51631;;0.51631;;f1_score;5000
Explained Variance;;0.92197;;0.91393;;0.91702;;Explained Variance;5000
Mean Squared Error;;0.0026;;0.00287;;0.00277;;Mean Squared Error;5000
Root Mean Squared Error;;0.051;;0.05356;;0.05262;;Root Mean Squared Error;5000
Mean Absolut Error;;0.04206;;0.04365;;0.04281;;Mean Absolut Error;5000
R2;;0.92143;;0.91332;;0.91634;;R2;5000
Explained Variance;;;0.66667;;0.68896;;0.70704;Explained Variance;5000
Mean Squared Error;;;223.35091;;208.3918;;196.25692;Mean Squared Error;5000
Root Mean Squared Error;;;14.94493;;14.43578;;14.00917;Root Mean Squared Error;5000
Mean Absolut Error;;;11.74759;;11.26786;;10.96541;Mean Absolut Error;5000
R2;;;0.66659;;0.68892;;0.70703;R2;5000
accuracy;;0.6627;;0.6563;;0.6605;;accuracy;4000
precision;;0.47471;;0.3933;;0.43642;;precision;4000
recall;;0.62314;;0.64014;;0.63202;;recall;4000
f1_score;;0.53889;;0.48724;;0.51631;;f1_score;4000
Explained Variance;;0.91818;;0.90208;;0.9042;;Explained Variance;4000
Mean Squared Error;;0.00272;;0.00326;;0.00319;;Mean Squared Error;4000
Root Mean Squared Error;;0.05218;;0.05713;;0.05648;;Root Mean Squared Error;4000
Mean Absolut Error;;0.04335;;0.04677;;0.04634;;Mean Absolut Error;4000
R2;;0.91773;;0.90138;;0.90362;;R2;4000
Explained Variance;;;0.66626;;0.6869;;0.70611;Explained Variance;4000
Mean Squared Error;;;223.66867;;209.84434;;196.88914;Mean Squared Error;4000
Root Mean Squared Error;;;14.95556;;14.48601;;14.03172;Root Mean Squared Error;4000
Mean Absolut Error;;;11.76036;;11.30318;;10.98521;Mean Absolut Error;4000
R2;;;0.66611;;0.68675;;0.70609;R2;4000
accuracy;;0.6627;;0.6598;;0.6609;;accuracy;3000
precision;;0.47471;;0.3974;;0.43955;;precision;3000
recall;;0.62314;;0.64706;;0.63171;;recall;3000
f1_score;;0.53889;;0.49239;;0.51839;;f1_score;3000
Explained Variance;;0.91019;;0.87163;;0.87819;;Explained Variance;3000
Mean Squared Error;;0.00297;;0.00425;;0.00403;;Mean Squared Error;3000
Root Mean Squared Error;;0.05452;;0.06518;;0.0635;;Root Mean Squared Error;3000
Mean Absolut Error;;0.04483;;0.05269;;0.0513;;Mean Absolut Error;3000
R2;;0.91017;;0.87162;;0.87817;;R2;3000
Explained Variance;;;0.66391;;0.68073;;0.6988;Explained Variance;3000
Mean Squared Error;;;225.28412;;213.89559;;201.80173;Mean Squared Error;3000
Root Mean Squared Error;;;15.00947;;14.62517;;14.20569;Root Mean Squared Error;3000
Mean Absolut Error;;;11.80641;;11.42395;;11.13422;Mean Absolut Error;3000
R2;;;0.6637;;0.6807;;0.69876;R2;3000
accuracy;;0.6627;;0.6562;;0.6562;;accuracy;2000
precision;;0.47471;;0.5118;;0.5118;;precision;2000
recall;;0.62314;;0.60096;;0.60096;;recall;2000
f1_score;;0.53889;;0.55281;;0.55281;;f1_score;2000
Explained Variance;;0.89213;;0.81029;;0.8243;;Explained Variance;2000
Mean Squared Error;;0.00357;;0.00628;;0.00582;;Mean Squared Error;2000
Root Mean Squared Error;;0.05975;;0.07924;;0.07626;;Root Mean Squared Error;2000
Mean Absolut Error;;0.04829;;0.06311;;0.0609;;Mean Absolut Error;2000
R2;;0.89213;;0.81029;;0.82428;;R2;2000
Explained Variance;;;0.66235;;0.67394;;0.68911;Explained Variance;2000
Mean Squared Error;;;226.406;;218.52815;;208.30409;Mean Squared Error;2000
Root Mean Squared Error;;;15.04679;;14.7827;;14.43274;Root Mean Squared Error;2000
Mean Absolut Error;;;11.86334;;11.59318;;11.32076;Mean Absolut Error;2000
R2;;;0.66203;;0.67379;;0.68905;R2;2000
accuracy;;0.6494;;0.652;;0.6551;;accuracy;1000
precision;;0.53613;;0.50361;;0.46965;;precision;1000
recall;;0.58487;;0.59573;;0.60995;;recall;1000
f1_score;;0.55944;;0.54581;;0.53068;;f1_score;1000
Explained Variance;;0.86142;;0.66749;;0.70499;;Explained Variance;1000
Mean Squared Error;;0.00484;;0.01129;;0.01002;;Mean Squared Error;1000
Root Mean Squared Error;;0.06954;;0.10625;;0.10009;;Root Mean Squared Error;1000
Mean Absolut Error;;0.05542;;0.08659;;0.08019;;Mean Absolut Error;1000
R2;;0.85388;;0.65891;;0.69731;;R2;1000
Explained Variance;;;0.65032;;0.64254;;0.65681;Explained Variance;1000
Mean Squared Error;;;234.30852;;239.47351;;229.90426;Mean Squared Error;1000
Root Mean Squared Error;;;15.30714;;15.47493;;15.16259;Root Mean Squared Error;1000
Mean Absolut Error;;;12.05151;;11.91179;;11.74881;Mean Absolut Error;1000
R2;;;0.65023;;0.64252;;0.65681;R2;1000
accuracy;;0.6506;;0.6516;;0.6474;;accuracy;500
precision;;0.45978;;0.50145;;0.45833;;precision;500
recall;;0.60411;;0.59554;;0.59843;;recall;500
f1_score;;0.52216;;0.54446;;0.51909;;f1_score;500
Explained Variance;;0.87614;;0.65586;;0.70487;;Explained Variance;500
Mean Squared Error;;0.00441;;0.01176;;0.01008;;Mean Squared Error;500
Root Mean Squared Error;;0.06642;;0.10845;;0.10038;;Root Mean Squared Error;500
Mean Absolut Error;;0.05249;;0.08883;;0.08104;;Mean Absolut Error;500
R2;;0.8667;;0.64463;;0.69552;;R2;500
Explained Variance;;;0.62204;;0.5927;;0.58447;Explained Variance;500
Mean Squared Error;;;253.73413;;273.12245;;278.93852;Mean Squared Error;500
Root Mean Squared Error;;;15.92903;;16.52642;;16.70145;Root Mean Squared Error;500
Mean Absolut Error;;;12.60155;;12.48735;;12.74303;Mean Absolut Error;500
R2;;;0.62123;;0.59229;;0.58361;R2;500
accuracy;;0.6393;;0.6263;;0.6263;;accuracy;200
precision;;0.40703;;0.43039;;0.43039;;precision;200
recall;;0.59612;;0.56569;;0.56569;;recall;200
f1_score;;0.48376;;0.48885;;0.48885;;f1_score;200
Explained Variance;;0.63667;;-0.33661;;-0.04879;;Explained Variance;200
Mean Squared Error;;0.01345;;0.04901;;0.03981;;Mean Squared Error;200
Root Mean Squared Error;;0.11596;;0.22139;;0.19953;;Root Mean Squared Error;200
Mean Absolut Error;;0.09339;;0.18253;;0.16719;;Mean Absolut Error;200
R2;;0.59372;;-0.48087;;-0.20293;;R2;200
Explained Variance;;;0.54014;;0.63101;;0.55636;Explained Variance;200
Mean Squared Error;;;308.09749;;247.18948;;297.37913;Mean Squared Error;200
Root Mean Squared Error;;;17.55271;;15.72226;;17.24468;Root Mean Squared Error;200
Mean Absolut Error;;;13.93874;;12.37571;;13.70256;Mean Absolut Error;200
R2;;;0.54008;;0.631;;0.55608;R2;200
accuracy;;0.6393;;0.6263;;0.6263;;accuracy;100
precision;;0.40703;;0.43039;;0.43039;;precision;100
recall;;0.59612;;0.56569;;0.56569;;recall;100
f1_score;;0.48376;;0.48885;;0.48885;;f1_score;100
Explained Variance;;0.63667;;-0.29242;;-0.04879;;Explained Variance;100
Mean Squared Error;;0.01345;;0.04831;;0.03981;;Mean Squared Error;100
Root Mean Squared Error;;0.11596;;0.2198;;0.19953;;Root Mean Squared Error;100
Mean Absolut Error;;0.09339;;0.18341;;0.16719;;Mean Absolut Error;100
R2;;0.59372;;-0.4597;;-0.20293;;R2;100
Explained Variance;;;0.54014;;0.62715;;0.5573;Explained Variance;100
Mean Squared Error;;;308.09749;;249.78448;;296.86065;Mean Squared Error;100
Root Mean Squared Error;;;17.55271;;15.80457;;17.22964;Root Mean Squared Error;100
Mean Absolut Error;;;13.93874;;12.46348;;13.67927;Mean Absolut Error;100
R2;;;0.54008;;0.62713;;0.55686;R2;100
accuracy;;0.6393;;0.6263;;0.6263;;accuracy;50
precision;;0.40703;;0.43039;;0.43039;;precision;50
recall;;0.59612;;0.56569;;0.56569;;recall;50
f1_score;;0.48376;;0.48885;;0.48885;;f1_score;50
Explained Variance;;0.63667;;-0.25767;;-0.04879;;Explained Variance;50
Mean Squared Error;;0.01345;;0.04686;;0.03981;;Mean Squared Error;50
Root Mean Squared Error;;0.11596;;0.21648;;0.19953;;Root Mean Squared Error;50
Mean Absolut Error;;0.09339;;0.17718;;0.16719;;Mean Absolut Error;50
R2;;0.59372;;-0.41594;;-0.20293;;R2;50
Explained Variance;;;0.54014;;0.63048;;0.55729;Explained Variance;50
Mean Squared Error;;;308.09749;;247.62528;;296.81616;Mean Squared Error;50
Root Mean Squared Error;;;17.55271;;15.73611;;17.22835;Root Mean Squared Error;50
Mean Absolut Error;;;13.93874;;12.38532;;13.66916;Mean Absolut Error;50
R2;;;0.54008;;0.63035;;0.55692;R2;50
