;t1_buy;t2_buy;t3_buy;t1_prom;t2_prom;t3_prom;p_no_prom_x;p_prom_x;prom;logit_prob
3703;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
3745;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
3883;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
3952;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
3985;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
4032;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
4126;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
4217;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
4270;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
4304;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
4305;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
4310;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
4326;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
4401;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
4497;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
4521;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
4530;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
4561;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
4622;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
4626;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
4674;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
4727;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
4766;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
4917;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
4959;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
5022;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
5079;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
5093;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
5104;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
5143;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
5160;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
5226;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
5240;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
5336;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
5368;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
5436;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
5516;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
5526;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
5626;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
5768;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
5855;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
6028;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
6032;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
6064;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
6085;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
6103;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
6131;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
6182;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
6193;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
6287;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
6373;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
6388;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
6563;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
6573;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
6652;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
6712;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
6810;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
6868;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
6898;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
7002;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
7013;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
7058;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
7059;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
7108;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
7127;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
7131;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
7148;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
7290;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
7429;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
7479;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
7495;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
7520;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
7535;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
7658;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
7709;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
7712;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
7762;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
7767;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
7768;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
7833;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
7869;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
7899;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
8061;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
8073;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
8163;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
8239;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
8277;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
8301;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
8314;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
8350;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
8399;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
8468;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
8778;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
8785;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
8804;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
8823;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
8833;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
9129;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
9154;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
9193;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
9259;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
9274;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
9497;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
9534;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
9562;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
9602;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
9614;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
9630;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
9660;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
9700;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
9753;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
9899;0;0;0;0;0;0;0,1;0,1086630914442542;1;0,3996808465390772
9942;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
9964;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
9981;0;0;0;0;0;0;0,1;0,1086630914442542;0;0,603234548393639
2;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
43;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
64;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
266;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
311;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
357;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
383;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
411;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
452;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
568;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
575;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
614;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
622;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
651;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
770;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
801;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
834;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
856;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
950;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
969;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
1056;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
1080;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
1089;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
1233;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
1337;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
1363;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
1438;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
1463;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
1602;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
1730;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
1836;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
1882;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
1890;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
1895;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
1969;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
2159;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
2249;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
2358;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
2424;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
2468;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
2472;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
2558;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
2641;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
2671;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
2679;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
2781;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
2822;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
2845;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
2899;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
3006;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
3035;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
3074;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
3140;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
3141;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
3189;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
3234;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
3272;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
3274;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
3277;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
3314;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
3315;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
3395;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
3451;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
3577;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
3594;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
3613;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
3759;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
3798;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
3898;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
4012;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
4052;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
4091;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
4248;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
4259;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
4279;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
4320;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
4327;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
4359;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
4433;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
4434;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
4467;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
4516;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
4555;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
4730;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
4747;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
4765;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
4849;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
4922;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
4975;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
4984;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
4992;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
5036;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
5075;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
5281;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
5308;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
5316;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
5363;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
5392;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
5585;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
5672;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
5683;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
5739;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
5743;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
5853;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
5933;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
5974;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
6109;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
6115;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
6145;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
6147;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
6187;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
6404;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
6488;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
6637;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
6678;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
6685;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
6697;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
6700;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
6838;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
6919;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
6991;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
7130;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
7166;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
7174;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
7198;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
7203;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
7210;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
7212;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
7254;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
7278;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
7317;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
7342;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
7364;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
7413;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
7483;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
7579;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
7616;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
7672;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
7673;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
7715;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
7838;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
7859;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
8041;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
8050;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
8157;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
8203;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
8229;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
8263;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
8268;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
8361;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
8431;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
8536;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
8542;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
8604;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
8614;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
8618;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
8640;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
8657;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
8769;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
8798;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
8954;0;0;0;0;0;1;0,075;0,0862118197740246;1;0,2327700471820803
8987;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
8995;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
9222;0;0;0;0;0;1;0,075;0,0862118197740246;0;0,011440588516677121
