;models;proms_sent;buys;orders_sum;profit;exp_profit;period;run;min_proms;max_proms
0;q_value_diff_c1;0;228;16669,7;6282,8;5878,0;4;1;0;0
0;q_value_diff_c1;0;215;15428,5;5779,3;5814,9;5;1;0;0
0;q_value_diff_c1;0;209;15426,3;5832,2;5291,1;6;1;0;0
0;q_value_diff_c1;0;177;13242,8;5028,4;4897,9;7;1;0;0
0;q_value_diff_c1;0;175;13371,9;5110,9;4867,9;8;1;0;0
0;q_value_diff_c1;0;152;11900,1;4582,0;4739,0;9;1;0;0
0;q_value_diff_c1;0;155;12094,5;4652,3;4643,1;10;1;0;0
0;q_value_diff_c1;0;157;12324,6;4749,3;4578,2;11;1;0;0
0;q_value_diff_c1;0;135;10621,8;4095,9;4502,3;12;1;0;0
0;q_value_diff_c10000;0;358;27913,3;10734,6;10744,6;1;1;0;0
0;q_value_diff_c10000;0;369;25821,0;9589,5;9771,0;2;1;0;0
0;q_value_diff_c10000;0;327;22038,8;8076,4;7472,0;3;1;0;0
0;q_value_diff_c10000;0;203;14912,7;5629,4;5726,9;4;1;0;0
0;q_value_diff_c10000;0;192;14199,0;5371,5;5722,2;5;1;0;0
0;q_value_diff_c10000;0;175;12641,5;4745,8;5191,0;6;1;0;0
0;q_value_diff_c10000;0;160;12267,8;4693,9;4791,9;7;1;0;0
0;q_value_diff_c10000;0;146;11416,7;4394,3;4704,6;8;1;0;0
0;q_value_diff_c10000;0;159;12393,9;4765,9;4570,5;9;1;0;0
0;q_value_diff_c10000;0;135;10737,4;4153,7;4518,4;10;1;0;0
0;q_value_diff_c10000;0;134;10655,9;4122,0;4515,8;11;1;0;0
0;q_value_diff_c10000;0;129;10038,6;3858,3;4486,7;12;1;0;0
0;q_value_diff_c10;0;375;29082,5;11166,3;10744,6;1;1;0;0
0;q_value_diff_c10;0;364;25378,3;9413,2;9792,1;2;1;0;0
0;q_value_diff_c10;0;306;20068,3;7280,1;7298,6;3;1;0;0
0;q_value_diff_c10;0;209;14867,0;5552,5;5739,6;4;1;0;0
0;q_value_diff_c10;0;235;17267,3;6518,6;5633,9;5;1;0;0
0;q_value_diff_c10;0;174;12833,5;4850,8;5107,4;6;1;0;0
0;q_value_diff_c10;0;157;12226,7;4700,4;4969,2;7;1;0;0
0;q_value_diff_c10;0;162;12609,9;4846,9;4867,5;8;1;0;0
0;q_value_diff_c10;0;132;10696,3;4160,2;4540,7;9;1;0;0
0;q_value_diff_c10;0;124;9878,0;3823,0;4548,5;10;1;0;0
0;q_value_diff_c10;0;154;12525,9;4876,9;4476,7;11;1;0;0
0;q_value_diff_c10;0;144;12051,5;4729,7;4321,9;12;1;0;0
0;q_value_diff_c20;0;363;28024,8;10745,4;10744,6;1;1;0;0
0;q_value_diff_c20;0;369;25307,1;9332,5;9781,4;2;1;0;0
0;q_value_diff_c20;0;313;20965,1;7665,5;7429,6;3;1;0;0
0;q_value_diff_c20;0;206;14818,8;5555,4;5734,8;4;1;0;0
0;q_value_diff_c20;0;215;15154,4;5642,2;5635,4;5;1;0;0
0;q_value_diff_c20;0;190;14120,6;5350,3;5140,4;6;1;0;0
0;q_value_diff_c20;0;183;13938,3;5322,2;4835,2;7;1;0;0
0;q_value_diff_c20;0;172;13166,5;5035,3;4806,9;8;1;0;0
0;q_value_diff_c20;0;158;12180,1;4668,0;4716,3;9;1;0;0
0;q_value_diff_c20;0;164;12809,3;4928,6;4639,1;10;1;0;0
0;q_value_diff_c20;0;145;11658,5;4524,2;4569,1;11;1;0;0
0;q_value_diff_c20;0;137;10704,1;4119,0;4558,2;12;1;0;0
0;q_value_diff_c30;0;389;30164,7;11581,3;10744,6;1;1;0;0
0;q_value_diff_c30;0;360;25585,2;9552,6;9801,4;2;1;0;0
0;q_value_diff_c30;0;315;20495,3;7412,6;7456,2;3;1;0;0
0;q_value_diff_c30;0;226;16797,8;6364,9;5786,6;4;1;0;0
0;q_value_diff_c30;0;188;13851,3;5233,7;5653,6;5;1;0;0
0;q_value_diff_c30;0;188;14233,6;5424,8;5179,4;6;1;0;0
0;q_value_diff_c30;0;172;13085,2;4994,6;4786,1;7;1;0;0
0;q_value_diff_c30;0;140;10770,1;4125,1;4693,9;8;1;0;0
0;q_value_diff_c30;0;144;11518,5;4463,3;4695,0;9;1;0;0
0;q_value_diff_c30;0;161;13114,2;5108,1;4546,7;10;1;0;0
0;q_value_diff_c30;0;144;11314,4;4361,2;4414,7;11;1;0;0
0;q_value_diff_c30;0;156;12263,0;4727,5;4492,6;12;1;0;0
0;q_value_diff_c40;0;366;29106,1;11259,1;10744,6;1;1;0;0
0;q_value_diff_c40;0;380;26711,3;9935,6;9834,7;2;1;0;0
0;q_value_diff_c40;0;294;19456,6;7082,3;7438,0;3;1;0;0
0;q_value_diff_c40;0;205;14613,1;5461,6;5772,9;4;1;0;0
0;q_value_diff_c40;0;217;15660,9;5877,4;5688,9;5;1;0;0
0;q_value_diff_c40;0;190;14312,9;5446,5;5106,2;6;1;0;0
0;q_value_diff_c40;0;176;13643,0;5237,5;4866,4;7;1;0;0
0;q_value_diff_c40;0;145;11083,3;4236,6;4802,5;8;1;0;0
0;q_value_diff_c40;0;156;11917,1;4554,5;4691,2;9;1;0;0
0;q_value_diff_c40;0;130;9863,9;3761,9;4532,8;10;1;0;0
0;q_value_diff_c40;0;156;12461,4;4826,7;4498,2;11;1;0;0
0;q_value_diff_c40;0;144;11529,7;4468,9;4434,3;12;1;0;0
0;q_value_diff_c50;0;363;27607,7;10536,8;10744,6;1;1;0;0
0;q_value_diff_c50;0;390;27713,4;10346,7;9870,8;2;1;0;0
0;q_value_diff_c50;0;303;20276,2;7411,1;7405,7;3;1;0;0
0;q_value_diff_c50;0;231;16498,3;6170,2;5807,4;4;1;0;0
0;q_value_diff_c50;0;208;15166,2;5711,1;5676,2;5;1;0;0
0;q_value_diff_c50;0;195;14368,3;5429,1;5191,4;6;1;0;0
0;q_value_diff_c50;0;167;12724,8;4859,4;4882,6;7;1;0;0
0;q_value_diff_c50;0;166;12661,9;4836,9;4793,3;8;1;0;0
0;q_value_diff_c50;0;154;11615,0;4421,5;4701,1;9;1;0;0
0;q_value_diff_c50;0;159;12717,9;4927,9;4592,4;10;1;0;0
0;q_value_diff_c50;0;143;11412,7;4419,4;4529,4;11;1;0;0
0;q_value_diff_c50;0;160;12949,9;5035,0;4533,7;12;1;0;0
0;linear_problem;0;364;28190,0;10819,0;10744,6;1;1;0;0
0;linear_problem;0;387;27286,2;10160,1;9817,6;2;1;0;0
0;linear_problem;0;311;20451,5;7426,7;7412,9;3;1;0;0
0;linear_problem;0;237;17011,1;6372,5;5820,5;4;1;0;0
0;linear_problem;0;237;16765,1;6249,5;5693,8;5;1;0;0
0;linear_problem;0;168;12558,6;4767,3;5197,5;6;1;0;0
0;linear_problem;0;188;14438,7;5527,3;5026,8;7;1;0;0
0;linear_problem;0;163;12977,5;5021,8;4776,0;8;1;0;0
0;linear_problem;0;146;11333,4;4352,7;4649,4;9;1;0;0
0;linear_problem;0;168;12903,4;4939,7;4654,4;10;1;0;0
0;linear_problem;0;143;11153,7;4289,9;4521,8;11;1;0;0
0;linear_problem;0;151;12066,9;4674,4;4585,0;12;1;0;0
0;highest_prob;0;379;29115,6;11146,8;10744,6;1;1;0;0
0;highest_prob;0;384;26961,5;10024,7;9798,7;2;1;0;0
0;highest_prob;0;304;20174,1;7351,0;7487,6;3;1;0;0
0;highest_prob;0;205;14939,9;5625,0;5870,0;4;1;0;0
0;highest_prob;0;205;14629,0;5469,5;5727,1;5;1;0;0
0;highest_prob;0;177;13120,7;4967,4;5096,7;6;1;0;0
0;highest_prob;0;159;12395,3;4766,7;4811,3;7;1;0;0
0;highest_prob;0;149;11484,2;4401,1;4722,6;8;1;0;0
0;highest_prob;0;171;13620,7;5271,3;4609,9;9;1;0;0
0;highest_prob;0;150;12080,1;4690,0;4484,2;10;1;0;0
0;highest_prob;0;148;12140,2;4738,1;4560,5;11;1;0;0
0;highest_prob;0;157;12282,3;4728,1;4557,4;12;1;0;0
0;highest_sizes;0;367;28927,9;11160,9;10744,6;1;1;0;0
0;highest_sizes;0;350;24775,8;9237,9;9846,8;2;1;0;0
0;highest_sizes;0;302;19944,7;7254,4;7539,6;3;1;0;0
0;highest_sizes;0;214;15633,1;5890,5;5743,0;4;1;0;0
0;highest_sizes;0;194;14528,4;5518,2;5581,6;5;1;0;0
0;highest_sizes;0;183;13667,2;5186,6;5148,2;6;1;0;0
0;highest_sizes;0;163;12888,5;4977,2;4826,4;7;1;0;0
0;highest_sizes;0;160;12146,3;4633,1;4749,0;8;1;0;0
0;highest_sizes;0;131;10167,8;3904,9;4640,5;9;1;0;0
0;highest_sizes;0;131;10514,5;4078,2;4580,0;10;1;0;0
0;highest_sizes;0;157;12451,7;4812,9;4439,5;11;1;0;0
0;highest_sizes;0;162;12905,2;4994,6;4331,8;12;1;0;0
0;highest_profit;0;393;30642,5;11784,2;10744,6;1;1;0;0
0;highest_profit;0;370;25821,4;9580,7;9820,4;2;1;0;0
0;highest_profit;0;310;19986,5;7203,2;7473,5;3;1;0;0
0;highest_profit;0;215;15273,0;5701,5;5847,6;4;1;0;0
0;highest_profit;0;203;14998,1;5672,1;5673,9;5;1;0;0
0;highest_profit;0;209;15966,6;6102,3;5155,4;6;1;0;0
0;highest_profit;0;157;11644,6;4409,3;4797,8;7;1;0;0
0;highest_profit;0;153;11925,8;4585,9;4856,0;8;1;0;0
0;highest_profit;0;165;12576,5;4803,3;4699,6;9;1;0;0
0;highest_profit;0;165;13156,5;5093,3;4522,8;10;1;0;0
0;highest_profit;0;147;11284,0;4319,0;4526,2;11;1;0;0
0;highest_profit;0;161;12260,4;4681,2;4577,8;12;1;0;0
0;last_buyers;0;378;29092,5;11144,3;10744,6;1;1;0;0
0;last_buyers;0;388;27093,5;10054,8;9837,8;2;1;0;0
0;last_buyers;0;318;21354,0;7815,0;7452,3;3;1;0;0
0;last_buyers;0;204;14535,5;5431,8;5875,5;4;1;0;0
0;last_buyers;0;226;16353,9;6142,9;5755,0;5;1;0;0
0;last_buyers;0;186;13549,7;5100,8;5107,7;6;1;0;0
0;last_buyers;0;151;11661,3;4471,7;4906,6;7;1;0;0
0;last_buyers;0;151;11411,3;4346,7;4819,0;8;1;0;0
0;last_buyers;0;167;13007,1;5000,5;4590,9;9;1;0;0
0;last_buyers;0;159;12850,1;4994,1;4503,5;10;1;0;0
0;last_buyers;0;141;11220,4;4341,2;4515,2;11;1;0;0
0;last_buyers;0;158;12377,5;4766,8;4554,4;12;1;0;0
0;no_buyers;0;349;26794,3;10256,1;10744,6;1;1;0;0
0;no_buyers;0;390;27759,6;10369,8;9771,0;2;1;0;0
0;no_buyers;0;326;21625,3;7878,6;7320,4;3;1;0;0
0;no_buyers;0;203;14889,0;5617,5;5770,4;4;1;0;0
0;no_buyers;0;225;16293,0;6121,5;5817,3;5;1;0;0
0;no_buyers;0;171;12322,6;4622,3;5140,2;6;1;0;0
0;no_buyers;0;176;13567,4;5199,7;4889,7;7;1;0;0
0;no_buyers;0;179;14118,3;5448,2;4774,1;8;1;0;0
0;no_buyers;0;178;14196,1;5496,0;4608,7;9;1;0;0
0;no_buyers;0;153;12000,1;4623,1;4670,1;10;1;0;0
0;no_buyers;0;156;12025,1;4608,5;4674,9;11;1;0;0
0;no_buyers;0;131;10130,5;3886,2;4575,0;12;1;0;0
0;random_choice;0;369;28617,0;10987,5;10744,6;1;1;0;0
0;random_choice;0;379;26477,0;9827,5;9831,2;2;1;0;0
0;random_choice;0;320;21294,9;7767,4;7479,0;3;1;0;0
0;random_choice;0;181;12786,1;4764,1;5773,0;4;1;0;0
0;random_choice;0;208;14760,9;5508,4;5752,0;5;1;0;0
0;random_choice;0;182;13585,5;5154,8;5048,4;6;1;0;0
0;random_choice;0;184;14031,1;5359,6;4764,5;7;1;0;0
0;random_choice;0;174;13259,8;5063,9;4747,2;8;1;0;0
0;random_choice;0;158;12188,5;4672,3;4654,3;9;1;0;0
0;random_choice;0;158;12234,0;4695,0;4665,3;10;1;0;0
0;random_choice;0;133;10697,7;4151,9;4583,2;11;1;0;0
0;random_choice;0;143;10882,3;4154,2;4527,7;12;1;0;0
0;c_balanced;500;387;30932,3;11483,1;12011,2;1;1;100;100
0;c_balanced;500;407;32755,5;12214,8;12011,2;2;1;100;100
0;c_balanced;500;421;33745,4;12583,7;12011,2;3;1;100;100
0;c_balanced;500;416;33488,3;12500,1;12011,2;4;1;100;100
0;c_balanced;500;407;32692,5;12183,2;12011,2;5;1;100;100
0;c_balanced;500;403;31410,2;11578,1;12011,2;6;1;100;100
0;c_balanced;500;418;33994,1;12735,1;12011,2;7;1;100;100
0;c_balanced;500;416;33357,4;12434,7;12011,2;8;1;100;100
0;c_balanced;500;406;32104,3;11898,2;12011,2;9;1;100;100
0;c_balanced;500;390;31169,0;11574,5;12011,2;10;1;100;100
0;c_balanced;500;400;32604,0;12202,0;12011,2;11;1;100;100
0;c_balanced;500;392;31281,6;11612,8;12011,2;12;1;100;100
0;c_umkippheuristik;100;374;30258,6;11663,3;11306,2;1;1;100;100
0;c_umkippheuristik;100;365;29340,9;11285,5;11812,2;2;1;100;100
0;c_umkippheuristik;100;326;24521,2;9226,6;9295,9;3;1;100;100
0;c_umkippheuristik;100;263;21669,9;8367,9;7874,1;4;1;100;100
0;c_umkippheuristik;100;249;20455,0;7886,5;7846,7;5;1;100;100
0;c_umkippheuristik;100;239;19872,1;7685,1;7442,1;6;1;100;100
0;c_umkippheuristik;100;229;19635,2;7656,6;7170,7;7;1;100;100
0;c_umkippheuristik;100;230;19789,2;7724,6;7131,6;8;1;100;100
0;c_umkippheuristik;100;224;19479,0;7623,5;7033,6;9;1;100;100
0;c_umkippheuristik;100;229;19545,6;7611,8;6993,8;10;1;100;100
0;c_umkippheuristik;100;212;17954,8;6969,4;6909,9;11;1;100;100
0;c_umkippheuristik;100;225;19394,0;7572,0;6984,3;12;1;100;100
0;q_value_diff_c1;100;366;29192,3;11202,2;11292,9;1;1;100;100
0;q_value_diff_c1;100;361;28987,7;11144,9;11748,0;2;1;100;100
0;q_value_diff_c1;100;330;24500,6;9180,3;9408,1;3;1;100;100
0;q_value_diff_c1;100;238;19775,4;7645,7;7971,8;4;1;100;100
0;q_value_diff_c1;100;262;21455,6;8269,8;7825,5;5;1;100;100
0;q_value_diff_c1;100;217;18076,0;6985,0;7344,5;6;1;100;100
0;q_value_diff_c1;100;220;18924,2;7382,1;7262,0;7;1;100;100
0;q_value_diff_c1;100;209;17644,8;6841,4;7149,3;8;1;100;100
0;q_value_diff_c1;100;212;18666,8;7325,4;7114,4;9;1;100;100
0;q_value_diff_c1;100;206;17882,6;6987,3;6922,2;10;1;100;100
0;q_value_diff_c1;100;205;17974,2;7042,1;6919,6;11;1;100;100
0;q_value_diff_c1;100;204;17454,4;6791,2;6953,9;12;1;100;100
0;q_value_diff_c10000;100;359;28226,6;10782,3;11310,2;1;1;100;100
0;q_value_diff_c10000;100;374;30235,1;11651,6;12027,8;2;1;100;100
0;q_value_diff_c10000;100;316;23835,2;8973,6;9240,1;3;1;100;100
0;q_value_diff_c10000;100;268;20777,5;7876,8;7460,9;4;1;100;100
0;q_value_diff_c10000;100;235;18603,5;7086,7;7356,6;5;1;100;100
0;q_value_diff_c10000;100;219;17922,5;6890,3;7092,0;6;1;100;100
0;q_value_diff_c10000;100;199;16785,9;6501,9;6809,2;7;1;100;100
0;q_value_diff_c10000;100;215;17736,8;6833,4;6513,1;8;1;100;100
0;q_value_diff_c10000;100;210;17703,2;6861,6;6479,8;9;1;100;100
0;q_value_diff_c10000;100;197;16354,6;6304,3;6448,0;10;1;100;100
0;q_value_diff_c10000;100;206;16886,5;6489,3;6402,9;11;1;100;100
0;q_value_diff_c10000;100;180;15318,6;5939,3;6394,9;12;1;100;100
0;q_value_diff_c10;100;362;29027,5;11155,7;11292,9;1;1;100;100
0;q_value_diff_c10;100;363;28055,3;10660,6;11698,4;2;1;100;100
0;q_value_diff_c10;100;332;24811,6;9317,8;9479,5;3;1;100;100
0;q_value_diff_c10;100;238;19963,1;7739,6;7961,8;4;1;100;100
0;q_value_diff_c10;100;256;20498,4;7845,2;7753,8;5;1;100;100
0;q_value_diff_c10;100;250;21020,9;8160,5;7454,4;6;1;100;100
0;q_value_diff_c10;100;222;19202,9;7503,5;7113,1;7;1;100;100
0;q_value_diff_c10;100;222;18596,0;7200,0;7165,8;8;1;100;100
0;q_value_diff_c10;100;223;19184,5;7485,2;7221,0;9;1;100;100
0;q_value_diff_c10;100;209;18317,6;7177,8;7025,5;10;1;100;100
0;q_value_diff_c10;100;203;17188,4;6667,2;6957,8;11;1;100;100
0;q_value_diff_c10;100;212;18554,5;7269,3;7035,4;12;1;100;100
0;q_value_diff_c20;100;351;27841,5;10661,8;11292,9;1;1;100;100
0;q_value_diff_c20;100;371;28933,2;11027,6;11692,0;2;1;100;100
0;q_value_diff_c20;100;335;25232,0;9501,0;9397,8;3;1;100;100
0;q_value_diff_c20;100;230;18683,6;7171,8;7805,7;4;1;100;100
0;q_value_diff_c20;100;252;20684,0;7974,0;7817,4;5;1;100;100
0;q_value_diff_c20;100;254;21317,4;8272,7;7467,0;6;1;100;100
0;q_value_diff_c20;100;216;18688,9;7300,5;7021,8;7;1;100;100
0;q_value_diff_c20;100;224;18474,9;7121,5;7159,4;8;1;100;100
0;q_value_diff_c20;100;205;17786,8;6948,4;7096,3;9;1;100;100
0;q_value_diff_c20;100;209;18253,5;7145,8;7038,0;10;1;100;100
0;q_value_diff_c20;100;185;15918,1;6194,1;6973,4;11;1;100;100
0;q_value_diff_c20;100;198;17127,5;6681,7;6987,3;12;1;100;100
0;q_value_diff_c30;100;365;29491,1;11360,6;11310,2;1;1;100;100
0;q_value_diff_c30;100;387;31447,1;12140,6;12020,8;2;1;100;100
0;q_value_diff_c30;100;326;23909,0;8920,5;9102,7;3;1;100;100
0;q_value_diff_c30;100;244;18879,2;7143,6;7603,6;4;1;100;100
0;q_value_diff_c30;100;260;20918,0;8019,0;7652,8;5;1;100;100
0;q_value_diff_c30;100;236;18711,2;7131,6;6870,8;6;1;100;100
0;q_value_diff_c30;100;213;17806,1;6886,1;6833,6;7;1;100;100
0;q_value_diff_c30;100;228;19365,4;7530,7;6913,1;8;1;100;100
0;q_value_diff_c30;100;176;14800,0;5716,0;6637,6;9;1;100;100
0;q_value_diff_c30;100;214;17703,1;6825,5;6563,6;10;1;100;100
0;q_value_diff_c30;100;199;16737,4;6477,7;6514,1;11;1;100;100
0;q_value_diff_c30;100;187;15696,9;6065,5;6485,1;12;1;100;100
0;q_value_diff_c40;100;369;28951,5;11054,7;11310,2;1;1;100;100
0;q_value_diff_c40;100;427;34496,7;13305,4;12136,7;2;1;100;100
0;q_value_diff_c40;100;319;23554,8;8806,4;9184,3;3;1;100;100
0;q_value_diff_c40;100;252;19821,5;7542,7;7660,6;4;1;100;100
0;q_value_diff_c40;100;235;18387,8;6978,9;7512,2;5;1;100;100
0;q_value_diff_c40;100;231;18330,2;6986,1;6953,4;6;1;100;100
0;q_value_diff_c40;100;217;18190,9;7042,4;6676,6;7;1;100;100
0;q_value_diff_c40;100;179;15006,3;5792,2;6583,1;8;1;100;100
0;q_value_diff_c40;100;216;18247,9;7079,9;6551,6;9;1;100;100
0;q_value_diff_c40;100;194;16650,1;6479,1;6318,6;10;1;100;100
0;q_value_diff_c40;100;177;15018,3;5816,2;6329,7;11;1;100;100
0;q_value_diff_c40;100;186;15668,1;6060,1;6368,4;12;1;100;100
0;q_value_diff_c50;100;396;30759,1;11715,6;11310,2;1;1;100;100
0;q_value_diff_c50;100;383;31341,1;12123,6;12116,4;2;1;100;100
0;q_value_diff_c50;100;333;24363,1;9084,5;9316,6;3;1;100;100
0;q_value_diff_c50;100;273;21220,2;8053,1;7639,3;4;1;100;100
0;q_value_diff_c50;100;267;20734,6;7864,3;7470,5;5;1;100;100
0;q_value_diff_c50;100;195;15939,4;6114,7;7104,3;6;1;100;100
0;q_value_diff_c50;100;221;17691,1;6756,6;6897,3;7;1;100;100
0;q_value_diff_c50;100;219;17996,5;6927,3;6626,7;8;1;100;100
0;q_value_diff_c50;100;198;16765,3;6500,7;6400,8;9;1;100;100
0;q_value_diff_c50;100;180;15328,8;5944,4;6474,4;10;1;100;100
0;q_value_diff_c50;100;190;15928,1;6154,1;6494,2;11;1;100;100
0;q_value_diff_c50;100;195;16838,8;6564,4;6404,6;12;1;100;100
0;linear_problem;100;343;27016,5;10321,3;11535,9;1;1;100;100
0;linear_problem;100;404;30269,0;11398,5;11201,6;2;1;100;100
0;linear_problem;100;320;23168,6;8604,3;8465,8;3;1;100;100
0;linear_problem;100;256;19611,7;7401,8;7246,5;4;1;100;100
0;linear_problem;100;240;18465,3;6972,7;7058,0;5;1;100;100
0;linear_problem;100;219;16094,6;5976,3;6323,3;6;1;100;100
0;linear_problem;100;215;17164,1;6547,0;6467,2;7;1;100;100
0;linear_problem;100;223;18139,5;6962,8;6468,8;8;1;100;100
0;linear_problem;100;197;15258,4;5756,2;5916,3;9;1;100;100
0;linear_problem;100;199;16298,4;6258,2;6223,5;10;1;100;100
0;linear_problem;100;215;17943,7;6936,8;6174,5;11;1;100;100
0;linear_problem;100;201;16511,4;6346,7;6123,7;12;1;100;100
0;highest_prob;100;390;30759,8;11769,9;11240,3;1;1;100;100
0;highest_prob;100;371;28307,8;10714,9;10800,9;2;1;100;100
0;highest_prob;100;324;22737,1;8352,5;8329,1;3;1;100;100
0;highest_prob;100;246;18530,3;6951,2;7107,4;4;1;100;100
0;highest_prob;100;249;19472,7;7395,4;7165,2;5;1;100;100
0;highest_prob;100;214;16986,4;6467,2;6692,4;6;1;100;100
0;highest_prob;100;209;17410,0;6724,0;6914,5;7;1;100;100
0;highest_prob;100;220;18615,0;7227,5;6816,4;8;1;100;100
0;highest_prob;100;208;17808,3;6932,2;6746,4;9;1;100;100
0;highest_prob;100;204;17129,8;6628,9;6733,1;10;1;100;100
0;highest_prob;100;215;18329,5;7129,7;6759,8;11;1;100;100
0;highest_prob;100;187;15923,8;6178,9;6823,0;12;1;100;100
0;highest_sizes;100;368;29017,1;11096,5;11176,3;1;1;100;100
0;highest_sizes;100;371;27038,3;10080,2;10667,6;2;1;100;100
0;highest_sizes;100;309;22304,0;8271,0;8543,8;3;1;100;100
0;highest_sizes;100;259;19576,8;7357,4;7073,6;4;1;100;100
0;highest_sizes;100;240;18362,4;6921,2;6736,4;5;1;100;100
0;highest_sizes;100;212;16645,4;6314,7;6537,4;6;1;100;100
0;highest_sizes;100;216;17693,7;6802,9;6428,8;7;1;100;100
0;highest_sizes;100;212;17242,5;6613,3;6257,2;8;1;100;100
0;highest_sizes;100;190;15087,3;5733,7;6193,9;9;1;100;100
0;highest_sizes;100;198;16386,5;6311,3;6192,9;10;1;100;100
0;highest_sizes;100;187;15233,4;5833,7;6119,4;11;1;100;100
0;highest_sizes;100;203;16854,7;6500,4;6047,1;12;1;100;100
0;highest_profit;100;338;26221,5;9968,7;11186,3;1;1;100;100
0;highest_profit;100;377;30398,4;11706,2;11732,9;2;1;100;100
0;highest_profit;100;305;22646,4;8478,2;8974,5;3;1;100;100
0;highest_profit;100;260;21175,9;8147,9;7790,1;4;1;100;100
0;highest_profit;100;259;21348,1;8243,0;7604,8;5;1;100;100
0;highest_profit;100;206;16755,4;6423,7;7129,5;6;1;100;100
0;highest_profit;100;207;17298,9;6686,4;7162,6;7;1;100;100
0;highest_profit;100;214;18269,8;7108,9;7077,9;8;1;100;100
0;highest_profit;100;218;19002,8;7439,4;6724,4;9;1;100;100
0;highest_profit;100;218;18613,9;7245,0;6746,8;10;1;100;100
0;highest_profit;100;209;18183,1;7110,6;6881,0;11;1;100;100
0;highest_profit;100;199;17563,6;6890,8;6954,6;12;1;100;100
0;last_buyers;100;377;29904,0;11459,0;10810,5;1;1;100;100
0;last_buyers;100;360;25859,9;9590,0;10306,9;2;1;100;100
0;last_buyers;100;306;21391,3;7841,6;8287,9;3;1;100;100
0;last_buyers;100;252;19597,6;7430,8;7172,4;4;1;100;100
0;last_buyers;100;251;19118,4;7200,2;6840,3;5;1;100;100
0;last_buyers;100;241;18543,6;7002,8;6377,9;6;1;100;100
0;last_buyers;100;214;16365,7;6156,8;6211,5;7;1;100;100
0;last_buyers;100;214;17280,1;6614,0;6302,3;8;1;100;100
0;last_buyers;100;205;16600,6;6355,3;6133,9;9;1;100;100
0;last_buyers;100;196;15578,0;5925,0;6075,2;10;1;100;100
0;last_buyers;100;175;14209,1;5429,5;6011,5;11;1;100;100
0;last_buyers;100;190;15047,5;5713,8;5998,8;12;1;100;100
0;no_buyers;100;362;28131,6;10707,8;10839,0;1;1;100;100
0;no_buyers;100;362;25672,9;9478,5;9834,8;2;1;100;100
0;no_buyers;100;327;22275,5;8094,8;8018,0;3;1;100;100
0;no_buyers;100;237;17864,1;6699,0;7019,3;4;1;100;100
0;no_buyers;100;250;18335,7;6817,9;6926,8;5;1;100;100
0;no_buyers;100;228;17816,1;6756,0;6506,8;6;1;100;100
0;no_buyers;100;206;16405,2;6248,6;6271,0;7;1;100;100
0;no_buyers;100;214;16598,6;6273,3;6231,7;8;1;100;100
0;no_buyers;100;198;16284,7;6260,4;6234,7;9;1;100;100
0;no_buyers;100;207;16688,3;6381,2;6112,3;10;1;100;100
0;no_buyers;100;205;16110,7;6110,3;5936,4;11;1;100;100
0;no_buyers;100;194;15707,8;6007,9;5941,4;12;1;100;100
0;random_choice;100;371;28913,9;11018,0;10842,1;1;1;100;100
0;random_choice;100;370;26354,1;9747,1;10174,3;2;1;100;100
